"Original_Row","Question","Original_Flag","Original_Answer","Updated_Flag","Updated_Answer","Update_Reason"
"46","NFR017 - High Availability - Provide 99.9% uptime after exclusion of scheduled maintenance","#redflag","Standard exception around availability applies here","#yellowflag","Salesforce targets approximately 99.9% uptime (excluding scheduled maintenance). Historical availability has consistently met or exceeded 99.9%. The contractual SLA is documented in the Master Subscription Agreement. 99.9% uptime (excluding maintenance and hardware failure) aligns closely with Salesforce's operational target.","99.9% excluding maintenance aligns with Salesforce's actual target. Should be yellow not red."
"79","COM.N006 - availability level of at least 99.9% per month (measured 24/7)","#redflag","our standard exception around availability applies here","#yellowflag","Salesforce targets approximately 99.9% system availability. Historical uptime has consistently met or exceeded this threshold. The 99.9% monthly target measured 24/7 is close to Salesforce's operational performance. Contractual SLA details are in the Master Subscription Agreement.","99.9% monthly availability aligns with Salesforce's operational target. Changed to yellow."
"88","13.2.6 - uptime of 99.9% availability, excluding scheduled maintenance windows","#redflag","Our standard exception around availability applies here","#yellowflag","Salesforce targets approximately 99.9% uptime excluding scheduled maintenance. This aligns with Salesforce's operational availability target. Historical performance has consistently met or exceeded this level. Real-time status is available at status.salesforce.com.","99.9% excluding maintenance matches Salesforce target. Changed to yellow."
"107","NFB07 - The solution must meet 99.9% availability","#redflag","Our standard exception around availability applies here","#yellowflag","Salesforce targets approximately 99.9% system availability. This requirement aligns with Salesforce's operational availability target. Historical uptime has consistently met or exceeded 99.9%. Contractual SLA terms are in the Master Subscription Agreement.","99.9% availability aligns with Salesforce target. Changed to yellow."
"195","S4.55 - availability on-line for 24 hr x 7 days with an SLA of 99.9%","#redflag","Our standard exception around availability applies here","#yellowflag","Salesforce provides 24x7 availability targeting approximately 99.9% uptime. This SLA level aligns with Salesforce's operational target. Real-time system status is available at status.salesforce.com. Contractual SLA details are documented in the Master Subscription Agreement.","99.9% SLA aligns with Salesforce operational target. Changed to yellow."
"269","4.3 - 99.9% uptime measured 24/7 and assessed quarterly","#redflag","Our standard exception around availability applies here","#yellowflag","Salesforce targets approximately 99.9% uptime. Historical availability data is available via status.salesforce.com and trust.salesforce.com. Quarterly assessment of availability metrics can be derived from the public status dashboard. This requirement aligns with Salesforce's operational target.","99.9% uptime aligns with Salesforce target. Changed to yellow."
"32","RPO no more than 60 minutes / RTO no more than 60 minutes","#redflag","Our standard exception around RPO of 4 hours and RTO of 8 hours applies here","#redflag","Salesforce standard RPO is 4 hours and RTO is 12 hours (SPARC targets). The requested RPO of 60 minutes and RTO of 60 minutes exceed our standard capabilities. Red flag remains as requirements exceed our standard RPO/RTO.","RTO corrected from 8 hours to 12 hours per current SPARC targets. RPO remains 4 hours."
"137","Service Level - RPO (24hrs) and RTO (2hrs)","#redflag","our standard exception around RTO i.e. 12 hours. Our RPO is 4 hours, we should be fine here.","#yellowflag","Salesforce standard RPO is 4 hours and RTO is 12 hours (SPARC targets). Customer requests RPO of 24 hours (we meet this - our RPO of 4 hours is better) and RTO of 2 hours (our RTO of 12 hours does not meet this). Yellow flag: we meet RPO but not RTO.","RPO of 24hrs is easily met (our RPO is 4hrs). RTO of 2hrs is not met (ours is 12hrs). Mixed result = yellow."
"543","Notify Contract Administrator within three hours of breach","#redflag","3 Hour Breach Notification","#yellowflag","Salesforce commits to notifying affected customers of confirmed security incidents without undue delay. Specific notification timelines (e.g., 3 hours) can be negotiated via the Data Processing Addendum (DPA) and Data Security Requirements (DSR). A 3-hour target may be achievable through DSR negotiation depending on the nature and scope of the incident.","Breach notification timelines are now negotiable via DSR. 3-hour target may be achievable."
"550","Notify within one (1) business day of learning of the breach","#yellowflag","24 Hour Breach","#yellowflag","Salesforce commits to notifying affected customers of confirmed security incidents without undue delay. A 24-hour / 1 business day notification timeline is achievable and can be formalized through the Data Processing Addendum (DPA) and Data Security Requirements (DSR) negotiation. This aligns with standard breach notification practices.","24-hour breach notification is achievable via DSR negotiation. Flag remains yellow for contract discussion."
"649","Within 24 hours of identifying a breach, the Contractor must notify the City.","#yellowflag","24 Hour Breach","#yellowflag","Salesforce commits to notifying affected customers of confirmed security incidents without undue delay. A 24-hour notification window is achievable and can be contractually committed via the DPA and DSR negotiation. This aligns with Salesforce's incident response practices.","24-hour breach notification achievable via DSR. Answer updated with current process."
"594","All notifications completed in less than one (1) hour","#redflag","1 Hour Breach Notification","#redflag","Salesforce commits to notifying affected customers of confirmed security incidents without undue delay. However, a 1-hour notification window for all notifications is extremely aggressive and may not be achievable for all incident types. Breach notification timelines can be negotiated via DSR, but 1 hour is below standard incident response timelines. Red flag remains.","1-hour notification remains a red flag but answer updated to reference DSR negotiation capability."
"707","Any security incident must be communicated within one hour of discovery","#redflag","1 Hour Breach Notification + $2500 dollars a day not fixed.","#redflag","Salesforce commits to notifying affected customers of confirmed security incidents without undue delay. A 1-hour notification window is extremely aggressive. Breach notification timelines are negotiable via DSR, but 1 hour may not be achievable for all incident types. Financial penalties for delayed notification would need to be addressed in contract negotiations. Red flag remains for the aggressive timeline and penalty clause.","Answer updated with DSR negotiation context. Red flag remains due to 1-hour + penalty terms."
"755","Reporting is expected to be delivered immediately upon discovery of the breach.","#redflag","Immediate breach notification.","#redflag","Salesforce commits to notifying affected customers of confirmed security incidents without undue delay. 'Immediately upon discovery' is not achievable as incidents require triage and confirmation before notification. Breach notification timelines can be negotiated via DSR. Red flag remains for immediate notification requirement.","Answer updated with current DSR negotiation capability. Immediate notification remains a red flag."
"2","Accessibility of Documents - WCAG 2.0 website accessibility","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) for its products demonstrating substantial conformance with WCAG 2.1 Level AA. Salesforce is committed to accessibility and provides ACRs based on VPAT 2.4 (WCAG 2.1). While full conformance with every WCAG criterion is not guaranteed across all features, Salesforce products substantially conform. ACRs are available at salesforce.com/company/legal/508_702.jsp.","Salesforce now publishes ACRs showing substantial WCAG conformance. No longer a blanket red flag."
"24","NFR 1.1 - Accessibility - DTA accessibility guidelines","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) for its products demonstrating substantial conformance with WCAG 2.1 Level AA and Section 508. ACRs are based on VPAT 2.4 format. While full conformance across every feature is not guaranteed, Salesforce maintains an active accessibility program. ACRs are publicly available.","ACRs now published. Changed to yellow - substantial conformance demonstrated."
"25","NFR 1.2 - Website Conformance - WCAG 2.1 Level AA","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA. ACRs are available in VPAT 2.4 format for major Salesforce products. While complete conformance across all features and components cannot be guaranteed, Salesforce maintains an active accessibility team and program.","ACRs now published showing substantial WCAG 2.1 AA conformance. Changed to yellow."
"43","All CRM interfaces must be compliant with WCAG 2.1-AA","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) for CRM products demonstrating substantial conformance with WCAG 2.1 Level AA. The Lightning platform is built with accessibility in mind. ACRs in VPAT 2.4 format detail conformance levels per product. Full conformance across every feature cannot be guaranteed.","ACRs now published for CRM products showing substantial WCAG 2.1 AA conformance."
"47","FR040 - Portal UI design shall comply with AA WCAG standard","#redflag","Standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA for Experience Cloud (portal) and Lightning components. ACRs are available in VPAT 2.4 format. Full conformance is not guaranteed across all portal customizations.","ACRs now published. Changed to yellow - substantial conformance demonstrated."
"48","R02 - CMS must meet accessibility requirements","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA. CMS (Salesforce CMS) and Experience Cloud products have ACRs available. Full conformance is not guaranteed across all content types and customizations.","ACRs now published. Changed to yellow."
"53","NFR16, NFR17 and NFR18 - Accessibility","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA and Section 508. ACRs are available in VPAT 2.4 format for major products. Salesforce maintains an active accessibility program.","ACRs now published. No longer a blanket exception."
"64","KEMVARP-474 - Must conform to WoVG accessibility guidelines - AA standard","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA. Victorian Government (WoVG) accessibility standards based on WCAG are substantially met. ACRs in VPAT 2.4 format are publicly available.","ACRs now published showing substantial AA conformance."
"68","#2.3.5 Accessibility Requirements","#redflag","our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA and Section 508. ACRs are based on VPAT 2.4 format and are publicly available.","ACRs now published. Changed to yellow."
"69","Ref-128 - Accessibility - WCAG 2.0 Level AA","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA (which is backward compatible with WCAG 2.0 AA). ACRs in VPAT 2.4 format are publicly available.","ACRs now published. WCAG 2.0 AA is met through WCAG 2.1 AA conformance."
"77","5.6.1 - Solution Must conform to WCAG 2.1 Level AA","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA. ACRs in VPAT 2.4 format are available for major products. Full conformance is not guaranteed across all features.","ACRs now published showing substantial WCAG 2.1 AA conformance."
"78","COM.N001 - WCAG 2.1, level AA at a minimum","#redflag","our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA. Lightning-based browser interfaces are designed with accessibility as a core requirement. ACRs in VPAT 2.4 format are publicly available.","ACRs now published. Changed to yellow - substantial conformance."
"121","NFR1 to NFR3 - Accessibility","#redflag","Our standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA and Section 508. ACRs are available in VPAT 2.4 format for major Salesforce products.","ACRs now published. No longer a blanket exception."
"268","10.3 The product must follow NZ government usability standards","#redflag","Our Standard exception around accessibility applies here","#yellowflag","Salesforce publishes Accessibility Conformance Reports (ACRs) demonstrating substantial conformance with WCAG 2.1 Level AA. NZ government accessibility requirements based on WCAG standards are substantially met. ACRs in VPAT 2.4 format are publicly available.","ACRs now published. NZ government standards based on WCAG are substantially met."
"27","Contractor personnel must complete ATO Pre-engagement Integrity Check (PEIC) including police records check","#redflag","Our standard exception around personnel security applies here.","#yellowflag","Salesforce performs background checks on all employees as part of the hiring process, including criminal history checks where legally permitted. Specific government pre-engagement integrity checks (e.g., ATO PEIC) may require additional coordination. Salesforce employees with access to customer data undergo appropriate vetting. The specific PEIC process would need to be discussed during contract negotiations.","Salesforce does perform background checks. Changed to yellow - specific government check process needs discussion."
"4323","Does the vendor's solution support end-to-end encryption?","#redflag","we will have this with Hyperforce, but not 1P","#yellowflag","On Hyperforce, Salesforce provides encryption in transit (TLS 1.2/1.3) and encryption at rest via AWS disk-level encryption plus optional Shield Platform Encryption (AES-256). This provides comprehensive encryption coverage. For first-party (1P) infrastructure, Shield Platform Encryption is available as an add-on. Full end-to-end encryption with customer-managed keys is available via Shield's Bring Your Own Key (BYOK) or Cache-Only Key Service.","Hyperforce now broadly available with end-to-end encryption. 1P also has Shield options."
"33","System uptime as Business Critical system should be 99.9%","#redflag","Our standard exception availability applies here","#yellowflag","Salesforce targets approximately 99.9% system availability. A 99.9% uptime target for a business-critical system aligns with Salesforce's operational performance. Historical availability has consistently met or exceeded this level. Real-time status is available at status.salesforce.com.","99.9% uptime aligns with Salesforce operational target. Changed to yellow."
"34","Key Performance Indicators - application uptime","#redflag","Our standard exception around availability applies here","#yellowflag","Salesforce targets approximately 99.9% system availability and provides real-time status monitoring at status.salesforce.com and trust.salesforce.com. Availability metrics and KPIs can be tracked via the public status API.","Generic availability exception updated with current metrics and monitoring capabilities."
"3958","Accommodation in France - Hyperforce for core, no in-country MC solution","#yellowflag","we can offer core on Hyperforce and keep it in France. we have no in-country solution for MC","#yellowflag","Salesforce Hyperforce is available in France (FR) for core platform data residency. Marketing Cloud data residency in France remains limited. Hyperforce France is one of 18 regions: AU, BR, CA, FR, DE, IN, ID, IE, IL, IT, JP, SG, KR, SE, CH, AE, UK, US. CDN traffic (Akamai, CloudFront, Cloudflare, Fastly) transits globally.","Hyperforce France confirmed as live. MC limitation remains. Updated Hyperforce region list."
"86","SaaS solution should have recovery time objective of 4 hours","#redflag","Our standard exception around RTO of 12 hours applies here","#redflag","Salesforce standard RTO is 12 hours (SPARC target). The requested RTO of 4 hours exceeds our standard capability. RPO is 4 hours. These are targets documented in the SPARC framework. Red flag remains as 4-hour RTO requirement exceeds our 12-hour standard.","Answer is mostly correct (RTO 12hrs). Confirmed current SPARC targets. No flag change needed."
"134","NFR-003 - Recovery Time Objective (RTO) = 4hrs","#redflag","Our standard exception around RTO of 12 hours applies here","#redflag","Salesforce standard RTO is 12 hours and RPO is 4 hours (SPARC targets). The requested RTO of 4 hours exceeds our standard 12-hour RTO capability. Red flag remains.","RTO 12hrs confirmed. 4-hour RTO requirement exceeds standard. Answer still valid."
"166","Confirm system ability to provide Recovery Time Objective (RTO) of 4 hours","#redflag","Our standard exception around RTO of 12 hours applies here","#redflag","Salesforce standard RTO is 12 hours (SPARC target). RPO is 4 hours. A 4-hour RTO exceeds our standard capability. Red flag remains.","RTO 12hrs and RPO 4hrs per SPARC confirmed. Answer remains valid."
